CFM,Color Temp,RGB (0-255),,,HEX RGB (00 - FF)
1931 CIE (2deg) or 1964 CIE (10deg),(Kelvin),R,G,B,RGB
10deg,25400,162,193,255,#a2c1ff
2deg,25500,168,189,255,#a8bdff
10deg,25500,162,193,255,#a2c1ff
2deg,25600,168,189,255,#a8bdff
10deg,25600,162,193,255,#a2c1ff
2deg,25700,167,188,255,#a7bcff
10deg,25700,162,193,255,#a2c1ff
2deg,25800,167,188,255,#a7bcff
10deg,25800,162,193,255,#a2c1ff
2deg,25900,167,188,255,#a7bcff
10deg,25900,162,192,255,#a2c0ff
2deg,26000,167,188,255,#a7bcff
10deg,26000,162,192,255,#a2c0ff
2deg,26100,167,188,255,#a7bcff
10deg,26100,162,192,255,#a2c0ff
2deg,26200,167,188,255,#a7bcff
10deg,26200,162,192,255,#a2c0ff
2deg,26300,167,188,255,#a7bcff
10deg,26300,162,192,255,#a2c0ff
2deg,26400,167,188,255,#a7bcff
10deg,26400,161,192,255,#a1c0ff
2deg,26500,167,188,255,#a7bcff
10deg,26500,161,192,255,#a1c0ff
2deg,26600,167,188,255,#a7bcff
10deg,26600,161,192,255,#a1c0ff
2deg,26700,167,188,255,#a7bcff
10deg,26700,161,192,255,#a1c0ff
2deg,26800,167,188,255,#a7bcff
10deg,26800,161,192,255,#a1c0ff
2deg,26900,167,188,255,#a7bcff
10deg,26900,161,192,255,#a1c0ff
2deg,27000,167,188,255,#a7bcff
10deg,27000,161,192,255,#a1c0ff
2deg,27100,166,188,255,#a6bcff
10deg,27100,161,192,255,#a1c0ff
2deg,27200,166,188,255,#a6bcff
10deg,27200,161,192,255,#a1c0ff
2deg,27300,166,188,255,#a6bcff
10deg,27300,161,192,255,#a1c0ff
2deg,27400,166,187,255,#a6bbff
10deg,27400,161,192,255,#a1c0ff
2deg,27500,166,187,255,#a6bbff
10deg,27500,161,192,255,#a1c0ff
2deg,27600,166,187,255,#a6bbff
10deg,27600,161,192,255,#a1c0ff
2deg,27700,166,187,255,#a6bbff
10deg,27700,161,192,255,#a1c0ff
2deg,27800,166,187,255,#a6bbff
10deg,27800,160,192,255,#a0c0ff
2deg,27900,166,187,255,#a6bbff
10deg,27900,160,192,255,#a0c0ff
2deg,28000,166,187,255,#a6bbff
10deg,28000,160,191,255,#a0bfff
2deg,28100,166,187,255,#a6bbff
10deg,28100,160,191,255,#a0bfff
2deg,28200,166,187,255,#a6bbff
10deg,28200,160,191,255,#a0bfff
2deg,28300,166,187,255,#a6bbff
10deg,28300,160,191,255,#a0bfff
2deg,28400,166,187,255,#a6bbff
10deg,28400,160,191,255,#a0bfff
2deg,28500,166,187,255,#a6bbff
10deg,28500,160,191,255,#a0bfff
2deg,28600,166,187,255,#a6bbff
10deg,28600,160,191,255,#a0bfff
2deg,28700,165,187,255,#a5bbff
10deg,28700,160,191,255,#a0bfff
2deg,28800,165,187,255,#a5bbff
10deg,28800,160,191,255,#a0bfff
2deg,28900,165,187,255,#a5bbff
10deg,28900,160,191,255,#a0bfff
2deg,29000,165,187,255,#a5bbff
10deg,29000,160,191,255,#a0bfff
2deg,29100,165,187,255,#a5bbff
10deg,29100,160,191,255,#a0bfff
2deg,29200,165,187,255,#a5bbff
10deg,29200,160,191,255,#a0bfff
2deg,29300,165,187,255,#a5bbff
10deg,29300,159,191,255,#9fbfff
2deg,29400,165,187,255,#a5bbff
10deg,29400,159,191,255,#9fbfff
2deg,29500,165,186,255,#a5baff
10deg,29500,159,191,255,#9fbfff
2deg,29600,165,186,255,#a5baff
10deg,29600,159,191,255,#9fbfff
2deg,29700,165,186,255,#a5baff
10deg,29700,159,191,255,#9fbfff
2deg,29800,165,186,255,#a5baff
10deg,29800,159,191,255,#9fbfff
2deg,29900,165,186,255,#a5baff
10deg,29900,159,191,255,#9fbfff
2deg,30000,165,186,255,#a5baff
10deg,30000,159,191,255,#9fbfff
2deg,30100,165,186,255,#a5baff
10deg,30100,159,191,255,#9fbfff
2deg,30200,165,186,255,#a5baff
10deg,30200,159,191,255,#9fbfff
2deg,30300,165,186,255,#a5baff
10deg,30300,159,191,255,#9fbfff
2deg,30400,165,186,255,#a5baff
10deg,30400,159,190,255,#9fbeff
2deg,30500,165,186,255,#a5baff
10deg,30500,159,190,255,#9fbeff
2deg,30600,164,186,255,#a4baff
10deg,30600,159,190,255,#9fbeff
2deg,30700,164,186,255,#a4baff
10deg,30700,159,190,255,#9fbeff
2deg,30800,164,186,255,#a4baff
10deg,30800,159,190,255,#9fbeff
2deg,30900,164,186,255,#a4baff
10deg,30900,159,190,255,#9fbeff
2deg,31000,164,186,255,#a4baff
10deg,31000,159,190,255,#9fbeff
2deg,31100,164,186,255,#a4baff
10deg,31100,158,190,255,#9ebeff
2deg,31200,164,186,255,#a4baff
10deg,31200,158,190,255,#9ebeff
2deg,31300,164,186,255,#a4baff
10deg,31300,158,190,255,#9ebeff
2deg,31400,164,186,255,#a4baff
10deg,31400,158,190,255,#9ebeff
2deg,31500,164,186,255,#a4baff
10deg,31500,158,190,255,#9ebeff
2deg,31600,164,186,255,#a4baff
10deg,31600,158,190,255,#9ebeff
2deg,31700,164,186,255,#a4baff
10deg,31700,158,190,255,#9ebeff
2deg,31800,164,186,255,#a4baff
10deg,31800,158,190,255,#9ebeff
2deg,31900,164,186,255,#a4baff
10deg,31900,158,190,255,#9ebeff
2deg,32000,164,185,255,#a4b9ff
10deg,32000,158,190,255,#9ebeff
2deg,32100,164,185,255,#a4b9ff
10deg,32100,158,190,255,#9ebeff
2deg,32200,164,185,255,#a4b9ff
10deg,32200,158,190,255,#9ebeff
2deg,32300,164,185,255,#a4b9ff
10deg,32300,158,190,255,#9ebeff
2deg,32400,164,185,255,#a4b9ff
10deg,32400,158,190,255,#9ebeff
2deg,32500,164,185,255,#a4b9ff
10deg,32500,158,190,255,#9ebeff
2deg,32600,164,185,255,#a4b9ff
10deg,32600,158,190,255,#9ebeff
2deg,32700,163,185,255,#a3b9ff
10deg,32700,158,190,255,#9ebeff
2deg,32800,163,185,255,#a3b9ff
10deg,32800,158,190,255,#9ebeff
2deg,32900,163,185,255,#a3b9ff
10deg,32900,158,190,255,#9ebeff
2deg,33000,163,185,255,#a3b9ff
10deg,33000,158,190,255,#9ebeff
2deg,33100,163,185,255,#a3b9ff
10deg,33100,158,190,255,#9ebeff
2deg,33200,163,185,255,#a3b9ff
10deg,33200,157,190,255,#9dbeff
2deg,33300,163,185,255,#a3b9ff
10deg,33300,157,190,255,#9dbeff
2deg,33400,163,185,255,#a3b9ff
10deg,33400,157,189,255,#9dbdff
2deg,33500,163,185,255,#a3b9ff
10deg,33500,157,189,255,#9dbdff
2deg,33600,163,185,255,#a3b9ff
10deg,33600,157,189,255,#9dbdff
2deg,33700,163,185,255,#a3b9ff
10deg,33700,157,189,255,#9dbdff
2deg,33800,163,185,255,#a3b9ff
10deg,33800,157,189,255,#9dbdff
2deg,33900,163,185,255,#a3b9ff
10deg,33900,157,189,255,#9dbdff
2deg,34000,163,185,255,#a3b9ff
10deg,34000,157,189,255,#9dbdff
2deg,34100,163,185,255,#a3b9ff
10deg,34100,157,189,255,#9dbdff
2deg,34200,163,185,255,#a3b9ff
10deg,34200,157,189,255,#9dbdff
2deg,34300,163,185,255,#a3b9ff
10deg,34300,157,189,255,#9dbdff
2deg,34400,163,185,255,#a3b9ff
10deg,34400,157,189,255,#9dbdff
2deg,34500,163,185,255,#a3b9ff
